0.40  	 0.40 	 1 	 0.4855 	 0.2040 	 0.1370 	 0.0135 	 0.1600
0.40  	 0.45 	 1 	 0.4940 	 0.2290 	 0.1125 	 0.0080 	 0.1565
0.40  	 0.50 	 1 	 0.4760 	 0.2415 	 0.1225 	 0.0110 	 0.1490
0.40  	 0.55 	 1 	 0.4605 	 0.2725 	 0.1090 	 0.0100 	 0.1480
0.40  	 0.60 	 1 	 0.4535 	 0.2930 	 0.1190 	 0.0145 	 0.1200
0.45  	 0.40 	 1 	 0.5200 	 0.2075 	 0.1420 	 0.0045 	 0.1260
0.45  	 0.45 	 1 	 0.5365 	 0.2005 	 0.1300 	 0.0065 	 0.1265
0.45  	 0.50 	 1 	 0.5110 	 0.2425 	 0.1250 	 0.0075 	 0.1140
0.45  	 0.55 	 1 	 0.5035 	 0.2440 	 0.1195 	 0.0090 	 0.1240
0.45  	 0.60 	 1 	 0.5050 	 0.2715 	 0.1100 	 0.0065 	 0.1070
0.50  	 0.40 	 1 	 0.5325 	 0.1970 	 0.1575 	 0.0030 	 0.1100
0.50  	 0.45 	 1 	 0.5385 	 0.2145 	 0.1425 	 0.0025 	 0.1020
0.50  	 0.50 	 1 	 0.5355 	 0.2305 	 0.1250 	 0.0040 	 0.1050
0.50  	 0.55 	 1 	 0.5250 	 0.2380 	 0.1405 	 0.0040 	 0.0925
0.50  	 0.60 	 1 	 0.5120 	 0.2615 	 0.1305 	 0.0070 	 0.0890
0.55  	 0.40 	 1 	 0.5690 	 0.1825 	 0.1475 	 0.0020 	 0.0990
0.55  	 0.45 	 1 	 0.5820 	 0.1830 	 0.1530 	 0.0005 	 0.0815
0.55  	 0.50 	 1 	 0.5715 	 0.2065 	 0.1420 	 0.0020 	 0.0780
0.55  	 0.55 	 1 	 0.5540 	 0.1985 	 0.1515 	 0.0040 	 0.0920
0.55  	 0.60 	 1 	 0.5515 	 0.2300 	 0.1365 	 0.0020 	 0.0800
0.60  	 0.40 	 1 	 0.5995 	 0.1690 	 0.1540 	 0.0020 	 0.0755
0.60  	 0.45 	 1 	 0.5830 	 0.1780 	 0.1680 	 0.0000 	 0.0710
0.60  	 0.50 	 1 	 0.5795 	 0.1925 	 0.1485 	 0.0015 	 0.0780
0.60  	 0.55 	 1 	 0.5845 	 0.1850 	 0.1685 	 0.0015 	 0.0605
0.60  	 0.60 	 1 	 0.5650 	 0.2175 	 0.1510 	 0.0010 	 0.0655
0.40  	 0.40 	 2 	 0.7845 	 0.0400 	 0.0620 	 0.0110 	 0.1025
0.40  	 0.45 	 2 	 0.8155 	 0.0390 	 0.0445 	 0.0100 	 0.0910
0.40  	 0.50 	 2 	 0.8400 	 0.0390 	 0.0315 	 0.0110 	 0.0785
0.40  	 0.55 	 2 	 0.8455 	 0.0355 	 0.0295 	 0.0075 	 0.0820
0.40  	 0.60 	 2 	 0.8720 	 0.0365 	 0.0140 	 0.0075 	 0.0700
0.45  	 0.40 	 2 	 0.8330 	 0.0350 	 0.0420 	 0.0055 	 0.0845
